runner,dataset,split,label_ts,snapshot_index,snapshot_ts,snapshot_edges,snapshot_t_min,snapshot_t_max,frontier_n,frontier_t_min,frontier_t_max,ingested_t_lt_label,ingested_t_eq_label,ingested_t_gt_label,label_nodes,label_hash,pending_label_before,pending_label_after,labels_drained_in_snapshot,drain_position,first_in_split,last_in_split
ours,tgbn-trade,train,2002,16,2002,16962,2002,2002,215242,1986,2002,198280,16962,0,216,befb0350768b0ca2,2002,2003,1,0,False,False
ours,tgbn-trade,train,2003,17,2003,16996,2003,2003,232238,1986,2003,215242,16996,0,215,bd9983d8cf2bd8eb,2003,2004,1,0,False,False
ours,tgbn-trade,train,2004,18,2004,17201,2004,2004,249439,1986,2004,232238,17201,0,214,799fcbde97925ea3,2004,2005,1,0,False,False
ours,tgbn-trade,train,2005,19,2005,17352,2005,2005,266791,1986,2005,249439,17352,0,213,bef8b634861aba31,2005,2006,1,0,False,False
ours,tgbn-trade,train,2006,20,2006,17195,2006,2006,283986,1986,2006,266791,17195,0,214,4f7c635d2483f8ee,2006,2007,1,0,False,False
ours,tgbn-trade,train,2007,21,2007,17746,2007,2007,301732,1986,2007,283986,17746,0,214,54c30fef6546695d,2007,2008,1,0,False,False
ours,tgbn-trade,train,2008,22,2008,17704,2008,2008,319436,1986,2008,301732,17704,0,214,8d915e7bcff854a2,2008,2009,1,0,False,False
ours,tgbn-trade,train,2009,23,2009,17788,2009,2009,337224,1986,2009,319436,17788,0,212,71f02d65e13f9027,2009,2010,1,0,False,True
ours,tgbn-trade,val,2010,0,2010,17898,2010,2010,355122,1986,2010,337224,17898,0,213,2f1e91a6d10d2a8c,2010,2011,1,0,True,False
ours,tgbn-trade,val,2011,1,2011,18045,2011,2011,373167,1986,2011,355122,18045,0,212,1a358c13e6920af6,2011,2012,1,0,False,False
ours,tgbn-trade,val,2012,2,2012,18494,2012,2012,391661,1986,2012,373167,18494,0,213,d205cab81896fdb8,2012,2013,1,0,False,False
ours,tgbn-trade,val,2013,3,2013,18733,2013,2013,410394,1986,2013,391661,18733,0,214,cda3e5d665433d0c,2013,2014,1,0,False,True
ours,tgbn-trade,test,2014,0,2014,19273,2014,2014,429667,1986,2014,410394,19273,0,225,bbfe440052a49927,2014,2015,1,0,True,False
ours,tgbn-trade,test,2015,1,2015,19371,2015,2015,449038,1986,2015,429667,19371,0,226,0452d512a98429c2,2015,2016,1,0,False,False
ours,tgbn-trade,test,2016,2,2016,19207,2016,2016,468245,1986,2016,449038,19207,0,224,7f3d4c6273452735,2016,-1,1,0,False,True
official_tgn_example,tgbn-trade,train,1987,94,1988,200,1987,1988,18801,1986,1987,9471,9330,0,201,64a8806b1be54c1f,1987,1988,1,0,True,False
official_tgn_example,tgbn-trade,train,1988,142,1989,200,1988,1989,28513,1986,1988,18801,9712,0,205,a73353088baa0744,1988,1989,1,0,False,False
official_tgn_example,tgbn-trade,train,1989,191,1990,200,1989,1990,38373,1986,1989,28513,9860,0,204,2fe3679d5dc10d3b,1989,1990,1,0,False,False
official_tgn_example,tgbn-trade,train,1990,240,1991,200,1990,1991,48033,1986,1990,38373,9660,0,205,4bf51d7a43527c9e,1990,1991,1,0,False,False
official_tgn_example,tgbn-trade,train,1991,292,1992,200,1991,1992,58595,1986,1991,48033,10562,0,209,2ced982cfe455991,1991,1992,1,0,False,False
official_tgn_example,tgbn-trade,train,1992,352,1993,200,1992,1993,70416,1986,1992,58595,11821,0,230,09a287cbdf7140db,1992,1993,1,0,False,False
official_tgn_example,tgbn-trade,train,1993,412,1994,200,1993,1994,82433,1986,1993,70416,12017,0,233,eb9244d5c3cbda34,1993,1994,1,0,False,False
official_tgn_example,tgbn-trade,train,1994,477,1995,200,1994,1995,95466,1986,1994,82433,13033,0,233,89ba2f65c6b518d4,1994,1995,1,0,False,False
official_tgn_example,tgbn-trade,train,1995,543,1996,200,1995,1996,108719,1986,1995,95466,13253,0,232,2c459a1e1342fc78,1995,1996,1,0,False,False
official_tgn_example,tgbn-trade,train,1996,610,1997,200,1996,1997,122042,1986,1996,108719,13323,0,232,01524bc0a0027e8a,1996,1997,1,0,False,False
official_tgn_example,tgbn-trade,train,1997,679,1998,200,1997,1998,135963,1986,1997,122042,13921,0,230,5dabcf9d5f3482cc,1997,1998,1,0,False,False
official_tgn_example,tgbn-trade,train,1998,753,1999,200,1998,1999,150780,1986,1998,135963,14817,0,233,0e2f81506ed2be84,1998,1999,1,0,False,False
official_tgn_example,tgbn-trade,train,1999,830,2000,200,1999,2000,166057,1986,1999,150780,15277,0,229,7a13f50c2a4cd515,1999,2000,1,0,False,False
official_tgn_example,tgbn-trade,train,2000,909,2001,200,2000,2001,181805,1986,2000,166057,15748,0,215,3cfe076b6c0d933f,2000,2001,1,0,False,False
official_tgn_example,tgbn-trade,train,2001,991,2002,200,2001,2002,198280,1986,2001,181805,16475,0,213,93f9e7aac6e3c287,2001,2002,1,0,False,False
official_tgn_example,tgbn-trade,train,2002,1076,2003,200,2002,2003,215242,1986,2002,198280,16962,0,216,befb0350768b0ca2,2002,2003,1,0,False,False
official_tgn_example,tgbn-trade,train,2003,1161,2004,200,2003,2004,232238,1986,2003,215242,16996,0,215,bd9983d8cf2bd8eb,2003,2004,1,0,False,False
official_tgn_example,tgbn-trade,train,2004,1247,2005,200,2004,2005,249439,1986,2004,232238,17201,0,214,799fcbde97925ea3,2004,2005,1,0,False,False
official_tgn_example,tgbn-trade,train,2005,1333,2006,200,2005,2006,266791,1986,2005,249439,17352,0,213,bef8b634861aba31,2005,2006,1,0,False,False
official_tgn_example,tgbn-trade,train,2006,1419,2007,200,2006,2007,283986,1986,2006,266791,17195,0,214,4f7c635d2483f8ee,2006,2007,1,0,False,False
official_tgn_example,tgbn-trade,train,2007,1508,2008,200,2007,2008,301732,1986,2007,283986,17746,0,214,54c30fef6546695d,2007,2008,1,0,False,False
official_tgn_example,tgbn-trade,train,2008,1597,2009,200,2008,2009,319436,1986,2008,301732,17704,0,214,8d915e7bcff854a2,2008,2009,1,0,False,True
official_tgn_example,tgbn-trade,val,2009,0,2010,200,2010,2010,337224,1986,2009,319436,17788,0,212,71f02d65e13f9027,2009,2010,1,0,True,False
official_tgn_example,tgbn-trade,val,2010,89,2011,200,2010,2011,355122,1986,2010,337224,17898,0,213,2f1e91a6d10d2a8c,2010,2011,1,0,False,False
official_tgn_example,tgbn-trade,val,2011,179,2012,200,2011,2012,373167,1986,2011,355122,18045,0,212,1a358c13e6920af6,2011,2012,1,0,False,False
official_tgn_example,tgbn-trade,val,2012,272,2013,200,2012,2013,391661,1986,2012,373167,18494,0,213,d205cab81896fdb8,2012,2013,1,0,False,True
official_tgn_example,tgbn-trade,test,2013,0,2014,200,2014,2014,410394,1986,2013,391661,18733,0,214,cda3e5d665433d0c,2013,2014,1,0,True,False
official_tgn_example,tgbn-trade,test,2014,96,2015,200,2014,2015,429667,1986,2014,410394,19273,0,225,bbfe440052a49927,2014,2015,1,0,False,False
official_tgn_example,tgbn-trade,test,2015,193,2016,200,2015,2016,449038,1986,2015,429667,19371,0,226,0452d512a98429c2,2015,2016,1,0,False,True
