runner,dataset,split,label_ts,snapshot_index,snapshot_ts,snapshot_edges,snapshot_t_min,snapshot_t_max,frontier_n,frontier_t_min,frontier_t_max,ingested_t_lt_label,ingested_t_eq_label,ingested_t_gt_label,label_nodes,label_hash,pending_label_before,pending_label_after,labels_drained_in_snapshot,drain_position,first_in_split,last_in_split
ours,tgbn-genre,train,1109912400,18,1109998680,1702,1109912403,1109998680,30268,1108357203,1109998680,28084,1617,567,35,a4a4c9cc983015a0,1109912400,1109998800,1,0,False,False
ours,tgbn-genre,train,1109998800,19,1110084961,1429,1109998861,1110084961,31697,1108357203,1110084961,29701,1483,513,30,ab06ab88ceaa7404,1109998800,1110085200,1,0,False,False
ours,tgbn-genre,train,1110085200,20,1110171302,1406,1110085320,1110171302,33103,1108357203,1110171302,31184,1435,484,10,c8a42922b021e575,1110085200,1110171600,1,0,False,False
ours,tgbn-genre,train,1110171600,21,1110257763,1298,1110172200,1110257763,34401,1108357203,1110257763,32619,1332,450,24,3806c53833666d8d,1110171600,1110258000,1,0,False,False
ours,tgbn-genre,train,1110258000,22,1110344100,1363,1110258182,1110344100,35764,1108357203,1110344100,33951,1368,445,29,4b41620dfc437780,1110258000,1110344400,1,0,False,False
ours,tgbn-genre,train,1110344400,23,1110430263,1959,1110344582,1110430263,37723,1108357203,1110430263,35319,1759,645,28,faf3aa92e4e7651d,1110344400,1110430800,1,0,False,False
ours,tgbn-genre,train,1110430800,24,1110516964,1712,1110431164,1110516964,39435,1108357203,1110516964,37078,1669,688,32,e6a92272786460d1,1110430800,1110517200,1,0,False,False
ours,tgbn-genre,train,1110517200,25,1110603363,1537,1110517262,1110603363,40972,1108357203,1110603363,38747,1839,386,27,9af91f038d5f7e89,1110517200,1110603600,1,0,False,False
ours,tgbn-genre,train,1110603600,26,1110637384,270,1110603841,1110637384,41242,1108357203,1110637384,40586,656,0,20,64227a82daeb865a,1110603600,1110690000,1,0,False,False
ours,tgbn-genre,train,1110690000,27,1110776223,1080,1110733264,1110776223,42322,1108357203,1110776223,41242,666,414,19,a293a6242276b4d6,1110690000,1110776400,1,0,False,False
ours,tgbn-genre,train,1110776400,28,1110862564,1430,1110776582,1110862564,43752,1108357203,1110862564,41908,1405,439,22,0745059cf81c8757,1110776400,1110862800,1,0,False,False
ours,tgbn-genre,train,1110862800,29,1110948840,1652,1110862865,1110948840,45404,1108357203,1110948840,43313,1503,588,25,a8bf4962c531bf42,1110862800,1110949200,1,0,False,False
ours,tgbn-genre,train,1110949200,30,1111035543,1640,1110949320,1111035543,47044,1108357203,1111035543,44816,1714,514,30,ebb380624bfb737e,1110949200,1111035600,1,0,False,False
ours,tgbn-genre,train,1111035600,31,1111095064,783,1111035605,1111095064,47827,1108357203,1111095064,46530,1297,0,27,b442cb12d81d5912,1111035600,1111122000,1,0,False,False
ours,tgbn-genre,train,1111122000,32,1111208282,1029,1111181404,1111208282,48856,1108357203,1111208282,47827,270,759,25,152190084910d16d,1111122000,1111208400,1,0,False,False
ours,tgbn-genre,train,1111208400,33,1111294503,1360,1111208405,1111294503,50216,1108357203,1111294503,48097,1824,295,22,4d9de2a27505dee9,1111208400,1111294800,1,0,False,False
ours,tgbn-genre,train,1111294800,34,1111380844,1692,1111295101,1111380844,51908,1108357203,1111380844,49921,1621,366,25,4a3553c140814183,1111294800,1111381200,1,0,False,False
ours,tgbn-genre,train,1111381200,35,1111467422,1562,1111381500,1111467422,53470,1108357203,1111467422,51542,1380,548,24,04a6ac12e17dbcb8,1111381200,1111467600,1,0,False,False
ours,tgbn-genre,train,1111467600,36,1111553705,2228,1111467603,1111553705,55698,1108357203,1111553705,52922,2096,680,25,ffa0d66779140cc8,1111467600,1111554000,1,0,False,False
ours,tgbn-genre,train,1111554000,37,1111640402,1649,1111554061,1111640402,57347,1108357203,1111640402,55018,1867,462,28,05b88acf6696a60c,1111554000,1111726800,2,0,False,False
ours,tgbn-genre,train,1111640400,37,1111640402,1649,1111554061,1111640402,57347,1108357203,1111640402,56885,462,0,32,a8652d63275527f8,1111554000,1111726800,2,1,False,False
ours,tgbn-genre,train,1111726800,39,1111813082,2075,1111726861,1111813082,61470,1108357203,1111813082,58967,1948,555,29,933b9a51febc5cf3,1111726800,1111813200,1,0,False,False
ours,tgbn-genre,train,1111813200,40,1111899543,1763,1111813261,1111899543,63233,1108357203,1111899543,60915,1610,708,27,9f72d3affb6d0d6d,1111813200,1111899600,1,0,False,False
ours,tgbn-genre,train,1111899600,41,1111985942,1483,1111899720,1111985942,64716,1108357203,1111985942,62525,1661,530,25,5031e78311e3843a,1111899600,1111986000,1,0,False,False
ours,tgbn-genre,train,1111986000,42,1112072224,1439,1111986062,1112072224,66155,1108357203,1112072224,64186,1607,362,25,74e081dba1abeefa,1111986000,1112072400,1,0,False,False
ours,tgbn-genre,train,1112072400,43,1112158684,1584,1112072522,1112158684,67739,1108357203,1112158684,65793,1551,395,26,5e978202e01f3373,1112072400,1112158800,1,0,False,False
ours,tgbn-genre,train,1112158800,44,1112245200,1925,1112158861,1112245200,69664,1108357203,1112245200,67344,1919,401,37,9e807f17e245a171,1112158800,1112331600,2,0,False,False
ours,tgbn-genre,train,1112245200,44,1112245200,1925,1112158861,1112245200,69664,1108357203,1112245200,69263,401,0,36,edb01d6147c07f45,1112158800,1112331600,2,1,False,False
ours,tgbn-genre,train,1112331600,46,1112417944,1584,1112331605,1112417944,72275,1108357203,1112417944,70399,1423,453,34,c22318da2a26b6f3,1112331600,1112418000,1,0,False,False
ours,tgbn-genre,train,1112418000,47,1112504223,1961,1112418125,1112504223,74236,1108357203,1112504223,71822,1999,415,35,f793825a53231916,1112418000,1112504400,1,0,False,False
ours,tgbn-genre,train,1112504400,48,1112590624,1569,1112504464,1112590624,75805,1108357203,1112590624,73821,1363,621,29,81547316352242d8,1112504400,1112673600,2,0,False,False
ours,tgbn-genre,train,1112587200,48,1112590624,1569,1112504464,1112590624,75805,1108357203,1112590624,75184,621,0,27,a1a36eadd0793ace,1112504400,1112673600,2,1,False,False
ours,tgbn-genre,train,1112673600,49,1112676781,1401,1112590803,1112676781,77206,1108357203,1112676781,76902,304,0,38,da8aacf9780349ee,1112673600,1112760000,1,0,False,False
ours,tgbn-genre,train,1112760000,50,1112763480,1896,1112677204,1112763480,79102,1108357203,1112763480,78607,495,0,36,a2dcfc563c35644f,1112760000,1112846400,1,0,False,False
ours,tgbn-genre,train,1112846400,51,1112849642,2497,1112763720,1112849642,81599,1108357203,1112849642,81085,514,0,34,d9f534de90189b22,1112846400,1112932800,1,0,False,False
ours,tgbn-genre,train,1112932800,52,1112936285,1633,1112850060,1112936285,83232,1108357203,1112936285,82748,484,0,38,2f0f2b79243b9a55,1112932800,1113019200,1,0,False,False
ours,tgbn-genre,train,1113019200,53,1113022441,2221,1112936404,1113022441,85453,1108357203,1113022441,84959,494,0,32,c5883028f57cfb34,1113019200,1113105600,1,0,False,False
ours,tgbn-genre,train,1113105600,54,1113109144,1731,1113022865,1113109144,87184,1108357203,1113109144,86739,445,0,29,d534f0a05bbe0993,1113105600,1113192000,1,0,False,False
ours,tgbn-genre,train,1113192000,55,1113195541,1781,1113109445,1113195541,88965,1108357203,1113195541,88365,600,0,25,c7a2095b92465087,1113192000,1113278400,1,0,False,False
ours,tgbn-genre,train,1113278400,56,1113281940,1617,1113195720,1113281940,90582,1108357203,1113281940,90062,520,0,34,2759817fad226805,1113278400,1113364800,1,0,False,False
ours,tgbn-genre,train,1113364800,57,1113368164,1945,1113282060,1113368164,92527,1108357203,1113368164,91821,706,0,36,a05ddf3aa362162a,1113364800,1113451200,1,0,False,False
ours,tgbn-genre,train,1113451200,58,1113454200,2654,1113368464,1113454200,95181,1108357203,1113454200,94496,685,0,36,4bfb47024cec8cab,1113451200,1113537600,1,0,False,False
ours,tgbn-genre,train,1113537600,59,1113541021,2064,1113454862,1113541021,97245,1108357203,1113541021,96660,585,0,38,5040ffe4c65dbd4f,1113537600,1113624000,1,0,False,False
ours,tgbn-genre,train,1113624000,60,1113627544,2271,1113541384,1113627544,99516,1108357203,1113627544,98876,640,0,40,989efa58694f0098,1113624000,1113710400,1,0,False,False
ours,tgbn-genre,train,1113710400,61,1113714002,2763,1113627660,1113714002,102279,1108357203,1113714002,101676,603,0,31,e60b5c6a74ac2a07,1113710400,1113796800,1,0,False,False
ours,tgbn-genre,train,1113796800,62,1113800401,2524,1113714242,1113800401,104803,1108357203,1113800401,104049,754,0,32,f8d42a17083391f0,1113796800,1113883200,1,0,False,False
ours,tgbn-genre,train,1113883200,63,1113886740,2938,1113800462,1113886740,107741,1108357203,1113886740,106902,839,0,43,1873af6266c02a3a,1113883200,1113969600,1,0,False,False
ours,tgbn-genre,train,1113969600,64,1113973023,3034,1113886805,1113973023,110775,1108357203,1113973023,110207,568,0,44,62b1561200232d57,1113969600,1114056000,1,0,False,False
ours,tgbn-genre,train,1114056000,65,1114059485,2868,1113973383,1114059485,113643,1108357203,1114059485,112939,704,0,42,ed8b46e807fe9f1a,1114056000,1114142400,1,0,False,False
ours,tgbn-genre,train,1114142400,66,1114145703,2432,1114059782,1114145703,116075,1108357203,1114145703,115291,784,0,44,cd6d0f334607ad7b,1114142400,1114228800,1,0,False,False
ours,tgbn-genre,train,1114228800,67,1114232163,2764,1114146303,1114232163,118839,1108357203,1114232163,117889,950,0,43,dff391db8acc5716,1114228800,1114315200,1,0,False,False
ours,tgbn-genre,train,1114315200,68,1114318800,3286,1114232462,1114318800,122125,1108357203,1114318800,121195,930,0,35,e4a15e998a4932e0,1114315200,1114401600,1,0,False,False
ours,tgbn-genre,train,1114401600,69,1114405084,2544,1114318860,1114405084,124669,1108357203,1114405084,123944,725,0,33,3752256b091391e4,1114401600,1114488000,1,0,False,False
ours,tgbn-genre,train,1114488000,70,1114491484,2956,1114405205,1114491484,127625,1108357203,1114491484,126706,919,0,32,d2368d28f4b398d5,1114488000,1114574400,1,0,False,False
ours,tgbn-genre,train,1114574400,71,1114578001,2965,1114491603,1114578001,130590,1108357203,1114578001,129726,864,0,39,1847bb5f71b6044f,1114574400,1114660800,1,0,False,False
ours,tgbn-genre,train,1114660800,72,1114664223,3572,1114578184,1114664223,134162,1108357203,1114664223,133272,890,0,36,266e06b74b76b55b,1114660800,1114747200,1,0,False,False
ours,tgbn-genre,train,1114747200,73,1114750083,3048,1114664462,1114750083,137210,1108357203,1114750083,136535,675,0,26,2e64dcdf2c21033d,1114747200,1114833600,1,0,False,False
ours,tgbn-genre,train,1114833600,74,1114837085,2595,1114750804,1114837085,139805,1108357203,1114837085,139237,568,0,23,58cf4d65a174b889,1114833600,1114920000,1,0,False,False
ours,tgbn-genre,train,1114920000,75,1114923600,2928,1114837443,1114923600,142733,1108357203,1114923600,141968,765,0,17,d3469c0162938217,1114920000,1115006400,1,0,False,False
ours,tgbn-genre,train,1115006400,76,1115009945,1867,1114923721,1115009945,144600,1108357203,1115009945,143797,803,0,28,9fa97123500dd923,1115006400,1115092800,1,0,False,False
ours,tgbn-genre,train,1115092800,77,1115096400,2568,1115010121,1115096400,147168,1108357203,1115096400,146613,555,0,36,568d6b1a93737fea,1115092800,1115179200,1,0,False,False
ours,tgbn-genre,train,1115179200,78,1115182800,2820,1115096462,1115182800,149988,1108357203,1115182800,149214,774,0,42,758dd6243e6f3d70,1115179200,1115265600,1,0,False,False
ours,tgbn-genre,train,1115265600,79,1115269142,2863,1115182863,1115269142,152851,1108357203,1115269142,152346,505,0,35,2175d27d94fe5a72,1115265600,1115352000,1,0,False,False
ours,tgbn-genre,train,1115352000,80,1115355542,1297,1115269265,1115355542,154148,1108357203,1115355542,153790,358,0,40,b659bc984fe6527b,1115352000,1115438400,1,0,False,False
ours,tgbn-genre,train,1115438400,81,1115442002,1729,1115356262,1115442002,155877,1108357203,1115442002,155217,660,0,36,c6450bb4a29526bc,1115438400,1115524800,1,0,False,False
ours,tgbn-genre,train,1115524800,82,1115527805,1051,1115442005,1115527805,156928,1108357203,1115527805,156501,427,0,24,abedf256551c7ecf,1115524800,1115611200,1,0,False,False
ours,tgbn-genre,train,1115611200,83,1115614685,1682,1115528522,1115614685,158610,1108357203,1115614685,158226,384,0,34,00d23d693331976f,1115611200,1115697600,1,0,False,False
ours,tgbn-genre,train,1115697600,84,1115701082,2280,1115614922,1115701082,160890,1108357203,1115701082,160068,822,0,36,7a5bf8232de048ce,1115697600,1115784000,1,0,False,False
ours,tgbn-genre,train,1115784000,85,1115787545,2542,1115701321,1115787545,163432,1108357203,1115787545,162620,812,0,36,f43088deffe34158,1115784000,1115870400,1,0,False,False
ours,tgbn-genre,train,1115870400,86,1115873821,2436,1115787783,1115873821,165868,1108357203,1115873821,165242,626,0,39,fc67ba6f8e73849a,1115870400,1115956800,1,0,False,False
ours,tgbn-genre,train,1115956800,87,1115960343,3363,1115874005,1115960343,169231,1108357203,1115960343,168479,752,0,38,c595bddce989c0c8,1115956800,1116043200,1,0,False,False
ours,tgbn-genre,train,1116043200,88,1116046560,2909,1115960824,1116046560,172140,1108357203,1116046560,171601,539,0,32,7e215dec1b06b51d,1116043200,1116129600,1,0,False,False
ours,tgbn-genre,train,1116129600,89,1116133143,2287,1116047102,1116133143,174427,1108357203,1116133143,173804,623,0,29,14140c6cd3c583fb,1116129600,1116216000,1,0,False,False
ours,tgbn-genre,train,1116216000,90,1116219482,2744,1116133260,1116219482,177171,1108357203,1116219482,176344,827,0,33,543edb5dbd38a374,1116216000,1116302400,1,0,False,False
ours,tgbn-genre,train,1116302400,91,1116305825,2434,1116219660,1116305825,179605,1108357203,1116305825,178944,661,0,32,3f2f052691d3c30c,1116302400,1116388800,1,0,False,False
ours,tgbn-genre,train,1116388800,92,1116392105,2251,1116306301,1116392105,181856,1108357203,1116392105,181296,560,0,37,bd4f826ebc783c4e,1116388800,1116475200,1,0,False,False
ours,tgbn-genre,train,1116475200,93,1116478503,2024,1116392460,1116478503,183880,1108357203,1116478503,183532,348,0,36,4a9539a5a291c5ce,1116475200,1116561600,1,0,False,False
ours,tgbn-genre,train,1116561600,94,1116565082,1738,1116478982,1116565082,185618,1108357203,1116565082,185226,392,0,33,cec088aee7924be2,1116561600,1116648000,1,0,False,False
ours,tgbn-genre,train,1116648000,95,1116651483,2748,1116565323,1116651483,188366,1108357203,1116651483,187820,546,0,40,8a290b57999528a0,1116648000,1116734400,1,0,False,False
ours,tgbn-genre,train,1116734400,96,1116738000,1965,1116651722,1116738000,190331,1108357203,1116738000,189809,522,0,31,b69e77df6df7a811,1116734400,1116820800,1,0,False,False
ours,tgbn-genre,train,1116820800,97,1116824284,3634,1116738005,1116824284,193965,1108357203,1116824284,193113,852,0,30,e530dc063027d420,1116820800,1116907200,1,0,False,False
ours,tgbn-genre,train,1116907200,98,1116910801,3344,1116824584,1116910801,197309,1108357203,1116910801,196574,735,0,32,a4b9b51c15b61b70,1116907200,1116993600,1,0,False,False
ours,tgbn-genre,train,1116993600,99,1116997023,3004,1116910983,1116997023,200313,1108357203,1116997023,199541,772,0,32,02f2bc0b721be7ee,1116993600,1117080000,1,0,False,False
ours,tgbn-genre,train,1117080000,100,1117083484,1999,1116997502,1117083484,202312,1108357203,1117083484,201824,488,0,40,9c0b9d277cf57b46,1117080000,1117166400,1,0,False,False
ours,tgbn-genre,train,1117166400,101,1117169883,2270,1117083725,1117169883,204582,1108357203,1117169883,203758,824,0,40,2436ef80846582a1,1117166400,1117252800,1,0,False,False
ours,tgbn-genre,train,1117252800,102,1117256224,3380,1117170304,1117256224,207962,1108357203,1117256224,207511,451,0,36,252e0b87302f98b8,1117252800,1117339200,1,0,False,False
ours,tgbn-genre,train,1117339200,103,1117342683,2403,1117259884,1117342683,210365,1108357203,1117342683,209902,463,0,29,34debce3eb3b3aa4,1117339200,1117425600,1,0,False,False
ours,tgbn-genre,train,1117425600,104,1117429081,2340,1117343224,1117429081,212705,1108357203,1117429081,212048,657,0,31,51bad1fca6efe2fc,1117425600,1117512000,1,0,False,False
ours,tgbn-genre,train,1117512000,105,1117515601,2510,1117429440,1117515601,215215,1108357203,1117515601,214786,429,0,37,7c36e7a1432c91fc,1117512000,1117598400,1,0,False,False
ours,tgbn-genre,train,1117598400,106,1117602002,3498,1117515660,1117602002,218713,1108357203,1117602002,217887,826,0,36,c14b543936d2497f,1117598400,1117684800,1,0,False,False
ours,tgbn-genre,train,1117684800,107,1117688285,2614,1117602240,1117688285,221327,1108357203,1117688285,220766,561,0,37,b0a051a17403e706,1117684800,1117771200,1,0,False,False
ours,tgbn-genre,train,1117771200,108,1117774802,3030,1117688584,1117774802,224357,1108357203,1117774802,223723,634,0,33,24141d4739979cf7,1117771200,1117857600,1,0,False,False
ours,tgbn-genre,train,1117857600,109,1117861200,2656,1117774864,1117861200,227013,1108357203,1117861200,226324,689,0,32,bdbe0cf7286c8882,1117857600,1117944000,1,0,False,False
ours,tgbn-genre,train,1117944000,110,1117947602,2384,1117861383,1117947602,229397,1108357203,1117947602,228851,546,0,29,ea49a2a7f0e7c2b7,1117944000,1118030400,1,0,False,False
ours,tgbn-genre,train,1118030400,111,1118033942,2901,1117947605,1118033942,232298,1108357203,1118033942,231514,784,0,28,251703fb055a126f,1118030400,1118116800,1,0,False,False
ours,tgbn-genre,train,1118116800,112,1118119800,3066,1118034120,1118119800,235364,1108357203,1118119800,234604,760,0,37,d05573903da91a37,1118116800,1118203200,1,0,False,False
ours,tgbn-genre,train,1118203200,113,1118206745,2925,1118120580,1118206745,238289,1108357203,1118206745,237465,824,0,41,f5bef946771c7983,1118203200,1118289600,1,0,False,False
ours,tgbn-genre,train,1118289600,114,1118292961,4122,1118206920,1118292961,242411,1108357203,1118292961,241731,680,0,35,daeac5edeb92248a,1118289600,1118376000,1,0,False,False
ours,tgbn-genre,train,1118376000,115,1118379545,2693,1118293561,1118379545,245104,1108357203,1118379545,244457,647,0,30,032707aabaf14e73,1118376000,1118462400,1,0,False,False
ours,tgbn-genre,train,1118462400,116,1118466001,2429,1118379605,1118466001,247533,1108357203,1118466001,247035,498,0,37,92e975675e626f83,1118462400,1118548800,1,0,False,False
ours,tgbn-genre,train,1118548800,117,1118552280,2815,1118466120,1118552280,250348,1108357203,1118552280,249725,623,0,26,413f17654335efef,1118548800,1118635200,1,0,False,False
ours,tgbn-genre,train,1118635200,118,1118638564,3290,1118552524,1118638564,253638,1108357203,1118638564,253104,534,0,31,8d8706df77df911c,1118635200,1118721600,1,0,False,False
ours,tgbn-genre,train,1118721600,119,1118725144,2657,1118638803,1118725144,256295,1108357203,1118725144,255668,627,0,38,9b7998bb2902c5bd,1118721600,1118808000,1,0,False,False
ours,tgbn-genre,train,1118808000,120,1118811541,3324,1118725384,1118811541,259619,1108357203,1118811541,258645,974,0,41,0f64e7e08a63ee90,1118808000,1118894400,1,0,False,False
ours,tgbn-genre,train,1118894400,121,1118897940,3349,1118811604,1118897940,262968,1108357203,1118897940,262195,773,0,38,c413a4bcd79a807d,1118894400,1118980800,1,0,False,False
ours,tgbn-genre,train,1118980800,122,1118984104,2681,1118898061,1118984104,265649,1108357203,1118984104,265245,404,0,41,0c68c0ddc49fd035,1118980800,1119067200,1,0,False,False
ours,tgbn-genre,train,1119067200,123,1119070502,2034,1118984523,1119070502,267683,1108357203,1119070502,267392,291,0,40,60cce8fd311988df,1119067200,1119153600,1,0,False,False
ours,tgbn-genre,train,1119153600,124,1119157200,2544,1119071160,1119157200,270227,1108357203,1119157200,269580,647,0,29,26e269ea82f00a01,1119153600,1119240000,1,0,False,False
ours,tgbn-genre,train,1119240000,125,1119243484,3442,1119157204,1119243484,273669,1108357203,1119243484,273075,594,0,35,89267d353b64b93c,1119240000,1119326400,1,0,False,False
ours,tgbn-genre,train,1119326400,126,1119329884,3338,1119243605,1119329884,277007,1108357203,1119329884,276100,907,0,43,991e159a7d80844e,1119326400,1119412800,1,0,False,False
ours,tgbn-genre,train,1119412800,127,1119415981,3039,1119330061,1119415981,280046,1108357203,1119415981,279333,713,0,42,7eb981891c8224db,1119412800,1119499200,1,0,False,False
ours,tgbn-genre,train,1119499200,128,1119502744,2662,1119416524,1119502744,282708,1108357203,1119502744,282075,633,0,39,e718f4b869132b93,1119499200,1119585600,1,0,False,False
ours,tgbn-genre,train,1119585600,129,1119589145,2480,1119502862,1119589145,285188,1108357203,1119589145,284448,740,0,39,441e6c1a14e69e35,1119585600,1119672000,1,0,False,False
ours,tgbn-genre,train,1119672000,130,1119675480,3048,1119589205,1119675480,288236,1108357203,1119675480,287634,602,0,32,2e9e7c0a6ac51e5b,1119672000,1119758400,1,0,False,False
ours,tgbn-genre,train,1119758400,131,1119761941,2265,1119675662,1119761941,290501,1108357203,1119761941,289981,520,0,21,5ae252384f3c4bdc,1119758400,1119844800,1,0,False,False
ours,tgbn-genre,train,1119844800,132,1119848222,2766,1119762305,1119848222,293267,1108357203,1119848222,292614,653,0,30,a894aa7c6d10ef6d,1119844800,1119931200,1,0,False,False
ours,tgbn-genre,train,1119931200,133,1119934741,2177,1119848463,1119934741,295444,1108357203,1119934741,295039,405,0,30,f66ecb50df9821e7,1119931200,1120017600,1,0,False,False
ours,tgbn-genre,train,1120017600,134,1120021200,2786,1119934925,1120021200,298230,1108357203,1120021200,297600,630,0,38,5ed17fa52ab020e2,1120017600,1120104000,1,0,False,False
ours,tgbn-genre,train,1120104000,135,1120107602,2499,1120021503,1120107602,300729,1108357203,1120107602,300091,638,0,38,4b6e36dd8bd11a68,1120104000,1120190400,1,0,False,False
ours,tgbn-genre,train,1120190400,136,1120193763,2469,1120107661,1120193763,303198,1108357203,1120193763,302584,614,0,37,3f3a665b170d47ed,1120190400,1120276800,1,0,False,False
ours,tgbn-genre,train,1120276800,137,1120280280,1626,1120194242,1120280280,304824,1108357203,1120280280,304469,355,0,33,a9338cb8ba47fd3b,1120276800,1120363200,1,0,False,False
ours,tgbn-genre,train,1120363200,138,1120366745,1896,1120280644,1120366745,306720,1108357203,1120366745,306144,576,0,33,9bfa5ae224d6b56b,1120363200,1120449600,1,0,False,False
ours,tgbn-genre,train,1120449600,139,1120453201,2748,1120367160,1120453201,309468,1108357203,1120453201,308862,606,0,35,7578108396724b69,1120449600,1120536000,1,0,False,False
ours,tgbn-genre,train,1120536000,140,1120539543,3076,1120453203,1120539543,312544,1108357203,1120539543,311595,949,0,39,1e55ffd2622a6e22,1120536000,1120622400,1,0,False,False
ours,tgbn-genre,train,1120622400,141,1120625883,2044,1120540200,1120625883,314588,1108357203,1120625883,313877,711,0,38,e258ff67500fb046,1120622400,1120708800,1,0,False,False
ours,tgbn-genre,train,1120708800,142,1120712040,2900,1120626062,1120712040,317488,1108357203,1120712040,316969,519,0,39,b226c7f61030f96a,1120708800,1120795200,1,0,False,False
ours,tgbn-genre,train,1120795200,143,1120798685,2707,1120712403,1120798685,320195,1108357203,1120798685,319465,730,0,33,c1c14af55ac58a24,1120795200,1120881600,1,0,False,False
ours,tgbn-genre,train,1120881600,144,1120885202,1867,1120799104,1120885202,322062,1108357203,1120885202,321790,272,0,27,b4b402b4b57a3860,1120881600,1120968000,1,0,False,False
ours,tgbn-genre,train,1120968000,145,1120971302,1903,1120885564,1120971302,323965,1108357203,1120971302,323547,418,0,32,a6f205c0fdd19af5,1120968000,1121054400,1,0,False,False
ours,tgbn-genre,train,1121054400,146,1121058002,2040,1120971720,1121058002,326005,1108357203,1121058002,325347,658,0,32,3142a642f0aee55b,1121054400,1121140800,1,0,False,False
ours,tgbn-genre,train,1121140800,147,1121144345,2933,1121058125,1121144345,328938,1108357203,1121144345,328097,841,0,40,2b933a35ab385920,1121140800,1121227200,1,0,False,False
ours,tgbn-genre,train,1121227200,148,1121230682,3302,1121144405,1121230682,332240,1108357203,1121230682,331474,766,0,41,3b243df74f1d17a0,1121227200,1121313600,1,0,False,False
ours,tgbn-genre,train,1121313600,149,1121317201,3428,1121230921,1121317201,335668,1108357203,1121317201,335076,592,0,40,e46d535778b5a17c,1121313600,1121400000,1,0,False,False
ours,tgbn-genre,train,1121400000,150,1121403541,2167,1121317204,1121403541,337835,1108357203,1121403541,337298,537,0,38,7ed124e1e62c9fab,1121400000,1121486400,1,0,False,False
ours,tgbn-genre,train,1121486400,151,1121490001,2721,1121403780,1121490001,340556,1108357203,1121490001,340054,502,0,42,9348ce3ae51ad905,1121486400,1121572800,1,0,False,False
