runner,dataset,split,label_ts,snapshot_index,snapshot_ts,snapshot_edges,snapshot_t_min,snapshot_t_max,frontier_n,frontier_t_min,frontier_t_max,ingested_t_lt_label,ingested_t_eq_label,ingested_t_gt_label,label_nodes,label_hash,pending_label_before,pending_label_after,labels_drained_in_snapshot,drain_position,first_in_split,last_in_split
official_tgn_example,tgbn-trade,train,2004,1247,2005,200,2004,2005,249439,1986,2004,232238,17201,0,214,799fcbde97925ea3,2004,2005,1,0,False,False
official_tgn_example,tgbn-trade,train,2005,1333,2006,200,2005,2006,266791,1986,2005,232238,34553,0,213,bef8b634861aba31,2005,2006,1,0,False,False
official_tgn_example,tgbn-trade,train,2006,1419,2007,200,2006,2007,283986,1986,2006,232238,51748,0,214,4f7c635d2483f8ee,2006,2007,1,0,False,False
official_tgn_example,tgbn-trade,train,2007,1508,2008,200,2007,2008,301732,1986,2007,283986,17746,0,214,54c30fef6546695d,2007,2008,1,0,False,False
official_tgn_example,tgbn-trade,train,2008,1597,2009,200,2008,2009,319436,1986,2008,283986,35450,0,214,8d915e7bcff854a2,2008,2009,1,0,False,True
official_tgn_example,tgbn-trade,val,2009,0,2010,200,2010,2010,337224,1986,2009,283986,53238,0,212,71f02d65e13f9027,2009,2010,1,0,True,False
official_tgn_example,tgbn-trade,val,2010,89,2011,200,2010,2011,355122,1986,2010,337224,17898,0,213,2f1e91a6d10d2a8c,2010,2011,1,0,False,False
official_tgn_example,tgbn-trade,val,2011,179,2012,200,2011,2012,373167,1986,2011,337224,35943,0,212,1a358c13e6920af6,2011,2012,1,0,False,False
official_tgn_example,tgbn-trade,val,2012,272,2013,200,2012,2013,391661,1986,2012,337224,54437,0,213,d205cab81896fdb8,2012,2013,1,0,False,True
official_tgn_example,tgbn-trade,test,2013,0,2014,200,2014,2014,410394,1986,2013,391661,18733,0,214,cda3e5d665433d0c,2013,2014,1,0,True,False
official_tgn_example,tgbn-trade,test,2014,96,2015,200,2014,2015,429667,1986,2014,391661,38006,0,225,bbfe440052a49927,2014,2015,1,0,False,False
official_tgn_example,tgbn-trade,test,2015,193,2016,200,2015,2016,449038,1986,2015,391661,57377,0,226,0452d512a98429c2,2015,2016,1,0,False,True
